imagen,metodo,detecciones,tiempo
imagen_73,MTCNN,1,0.3826637268066406
imagen_74,HOG,2,0.24587082862854004
imagen_74,HAAR,1,0.03699898719787598
imagen_74,MTCNN,1,0.2634155750274658
imagen_75,HOG,7,0.1393566131591797
imagen_75,HAAR,1,0.03899741172790527
imagen_75,MTCNN,1,0.26204895973205566
imagen_76,HOG,2,0.5565955638885498
imagen_76,HAAR,1,0.05652284622192383
imagen_76,MTCNN,1,0.34279966354370117
imagen_77,HOG,0,0.5533151626586914
imagen_77,HAAR,1,0.08044195175170898
imagen_77,MTCNN,1,0.368877649307251
imagen_78,HOG,7,0.48784732818603516
imagen_78,HAAR,1,0.05362367630004883
imagen_78,MTCNN,1,0.45517635345458984
imagen_79,HOG,2,0.3487861156463623
imagen_79,HAAR,1,0.05249524116516113
imagen_79,MTCNN,1,0.3814866542816162
imagen_80,HOG,1,0.5051872730255127
imagen_80,HAAR,2,0.057618141174316406
imagen_80,MTCNN,1,0.343980073928833
imagen_81,HOG,3,0.5456686019897461
imagen_81,HAAR,4,0.06892585754394531
imagen_81,MTCNN,1,0.3359181880950928
imagen_82,HOG,2,0.4709148406982422
imagen_82,HAAR,2,0.09651446342468262
imagen_82,MTCNN,1,0.3339121341705322
imagen_83,HOG,1,0.45427775382995605
imagen_83,HAAR,1,0.051367759704589844
imagen_83,MTCNN,1,0.41205859184265137
imagen_84,HOG,1,0.46122145652770996
imagen_84,HAAR,1,0.04851984977722168
imagen_84,MTCNN,1,0.3298776149749756
imagen_85,HOG,1,0.08662271499633789
imagen_85,HAAR,1,0.038416385650634766
imagen_85,MTCNN,1,0.3861846923828125
imagen_86,HOG,2,0.46428990364074707
imagen_86,HAAR,1,0.05063605308532715
imagen_86,MTCNN,1,0.4353785514831543
imagen_87,HOG,5,0.46161603927612305
imagen_87,HAAR,1,0.05009722709655762
imagen_87,MTCNN,1,0.323807954788208
imagen_88,HOG,3,0.2111661434173584
imagen_88,HAAR,1,0.07155680656433105
imagen_88,MTCNN,1,0.3387775421142578
imagen_89,HOG,1,0.1417255401611328
imagen_89,HAAR,1,0.03249049186706543
imagen_89,MTCNN,1,0.2412407398223877
imagen_90,HOG,1,0.16287541389465332
imagen_90,HAAR,1,0.036000728607177734
imagen_90,MTCNN,1,0.41611504554748535
imagen_91,HOG,4,0.45694899559020996
imagen_91,HAAR,1,0.06860733032226562
imagen_91,MTCNN,1,0.42677998542785645
imagen_92,HOG,4,0.5155470371246338
imagen_92,HAAR,1,0.05330300331115723
imagen_92,MTCNN,1,0.34583544731140137
imagen_93,HOG,1,0.25615835189819336
imagen_93,HAAR,0,0.07653379440307617
imagen_93,MTCNN,0,0.2795886993408203
imagen_94,HOG,3,0.16361594200134277
imagen_94,HAAR,1,0.03713726997375488
imagen_94,MTCNN,1,0.25629258155822754
imagen_95,HOG,3,0.6213812828063965
imagen_95,HAAR,2,0.05655169486999512
imagen_95,MTCNN,1,0.37905406951904297
imagen_96,HOG,1,0.8639705181121826
imagen_96,HAAR,1,0.07688522338867188
imagen_96,MTCNN,1,0.47588491439819336
imagen_97,HOG,0,0.5812163352966309
imagen_97,HAAR,1,0.05551767349243164
imagen_97,MTCNN,2,0.3461153507232666
imagen_98,HOG,7,0.4325861930847168
imagen_98,HAAR,1,0.08716869354248047
imagen_98,MTCNN,1,0.3524289131164551
imagen_99,HOG,2,0.35792016983032227
imagen_99,HAAR,2,0.056012630462646484
imagen_99,MTCNN,1,0.4854562282562256
imagen_100,HOG,3,0.44506168365478516
imagen_100,HAAR,1,0.049106597900390625
imagen_100,MTCNN,1,0.4650094509124756
imagen_101,HOG,0,0.1770336627960205
imagen_101,HAAR,1,0.042999982833862305
imagen_101,MTCNN,1,0.26452088356018066
